Date,time,Flight_index,ATRsum
2018-07-02,0,14,7.25568646573922e-23
2018-07-02,0,15,6.07700611568741e-23
2018-07-02,0,16,1.891440825943456e-23
2018-07-02,0,17,3.797646840520345e-23
2018-07-02,0,18,1.5362155538799345e-23
2018-07-02,0,19,7.165132687926226e-23
2018-07-02,0,20,4.162261512316413e-23
2018-07-02,0,21,2.26302759621099e-25
2018-07-02,0,22,5.99954916463629e-23
2018-07-02,0,23,5.820563089581807e-23
2018-07-02,0,24,2.205580606290656e-25
2018-07-02,0,25,3.3561428055594453e-23
2018-07-02,0,26,2.5510063671462761e-23
2018-07-02,0,27,1.0558909086453569e-22
2018-07-02,0,28,1.1779830837013575e-23
2018-07-02,0,29,1.2563010437009241e-23
2018-07-02,0,30,9.082876670060378e-23
2018-07-02,0,31,1.8471355533634332e-23
2018-07-02,0,32,1.9618983681838486e-23
2018-07-02,0,33,3.873225050179261e-25
2018-07-02,0,34,6.239474071230279e-23
2018-07-02,0,35,3.710634004046916e-23
2018-07-02,0,36,4.9510611040158314e-23
2018-07-02,0,37,2.206852064397936e-25
2018-07-02,0,38,2.3027860783034418e-23
2018-07-02,0,39,4.7980724852534166e-23
2018-07-02,0,40,3.0120874497964223e-23
2018-07-02,0,41,2.2102106884311145e-23
2018-07-02,0,42,3.1999715640221696e-25
2018-07-02,0,43,2.187432260457372e-23
2018-07-02,0,44,9.053984498417091e-24
2018-07-02,0,45,4.386616590031956e-25
2018-07-02,0,46,1.2739897112809925e-23
2018-07-02,0,47,4.2625036836435885e-25
2018-07-02,0,48,2.520196582257433e-23
2018-07-02,0,49,7.038516795881735e-23
2018-07-02,0,50,4.491771438298186e-25
2018-07-02,0,51,6.647086810096401e-23
2018-07-02,0,52,3.315294462521109e-25
2018-07-02,0,53,6.086911786662278e-23
2018-07-02,0,54,4.153358402735231e-25
2018-07-02,0,55,3.77433629138374e-23
2018-07-02,0,56,4.486173921170865e-23
2018-07-02,0,57,3.235869356633539e-23
2018-07-02,0,58,3.2725498913926175e-23
2018-07-02,0,59,2.7332291049143204e-23
2018-07-02,0,60,6.853330498374468e-23
2018-07-02,0,61,2.6518943789711344e-23
2018-07-02,0,62,5.58330627222678e-23
2018-07-02,0,63,4.349779355975506e-25
2018-07-02,0,64,3.944780990257232e-25
2018-07-02,0,65,2.0542316010582085e-23
2018-07-02,0,66,5.549373297040343e-23
2018-07-02,0,67,2.465181847844364e-23
2018-07-02,0,68,5.541167176395935e-23
2018-07-02,0,69,3.626894098101914e-25
2018-07-02,0,70,2.463065037410144e-25
2018-07-02,0,71,2.832532113393206e-25
2018-07-02,0,72,4.549990717600924e-23
2018-07-02,0,73,4.148235238289431e-25
2018-07-02,0,74,4.646617142252858e-23
2018-07-02,0,75,3.428630045116726e-23
2018-07-02,0,76,5.024207073565774e-25
2018-07-02,0,77,1.5775168586061872e-23
2018-07-02,0,78,3.3618213945381663e-25
2018-07-02,0,79,5.578488530624518e-23
2018-07-02,0,80,4.203796371593216e-23
2018-07-02,0,81,4.466591905054059e-23
2018-07-02,0,82,3.72202015434028e-25
2018-07-02,0,83,3.296495537636096e-25
2018-07-02,0,84,4.736049270217075e-23
2018-07-02,0,85,2.464972870253989e-23
2018-07-02,0,86,5.565120627515202e-23
2018-07-02,0,87,4.805830468282144e-23
2018-07-02,0,88,2.13968326938157e-25
2018-07-02,0,89,2.407827979266985e-24
2018-07-02,0,90,3.986312910557769e-23
2018-07-02,0,91,4.130821380297153e-23
2018-07-02,0,92,1.176543921538392e-22
2018-07-02,0,93,3.6385282159140407e-25
2018-07-02,0,94,3.787676615888344e-23
2018-07-02,0,95,3.628495037681113e-23
2018-07-02,0,96,7.845832419636761e-23
2018-07-02,0,97,5.984399153789878e-23
2018-07-02,0,98,2.2401222501437373e-23
2018-07-02,0,99,5.760788735474932e-23
2018-07-03,0,0,2.347713440845965e-25
2018-07-03,0,1,4.793620202214146e-23
2018-07-03,0,2,1.362134049156273e-23
2018-07-03,0,3,8.392121952763513e-24
2018-07-03,0,4,3.3160628264584824e-23
2018-07-03,0,5,2.1541535872313763e-23
2018-07-03,0,6,7.418986840561915e-23
2018-07-03,0,7,4.217881939647829e-23
2018-07-03,0,8,1.0210395693432417e-23
2018-07-03,0,9,4.3256002836852214e-23
2018-07-03,0,10,3.119777555026685e-23
2018-07-03,0,11,1.0726854690264136e-23
2018-07-03,0,12,4.105501168348896e-23
2018-07-03,0,13,3.262487130728998e-23
2018-07-03,0,14,2.2524535007058468e-23
2018-07-03,0,15,3.2809714647752413e-23
2018-07-03,0,16,2.8773507167682226e-23
2018-07-03,0,17,4.2943205378407597e-23
2018-07-03,0,18,5.969379323158136e-23
2018-07-03,0,19,1.036744598361487e-23
2018-07-03,0,20,1.2219220229240285e-23
2018-07-03,0,21,3.730642542026454e-24
2018-07-03,0,22,3.6483632403206864e-23
2018-07-03,0,23,4.878113837695875e-23
2018-07-03,0,24,2.6610431398489844e-25
2018-07-03,0,25,3.505997287380488e-23
2018-07-03,0,26,5.133567888133036e-23
2018-07-03,0,27,2.075922840852335e-23
2018-07-03,0,28,3.7584462194500514e-23
2018-07-03,0,29,1.2334762934079228e-23
2018-07-03,0,30,2.3648216569400028e-23
2018-07-03,0,31,5.810053638481831e-23
2018-07-03,0,32,3.33286504862027e-23
2018-07-03,0,33,4.640939402414402e-25
2018-07-03,0,34,3.678666476403751e-23
2018-07-03,0,35,3.587598154859883e-23
2018-07-03,0,36,7.545851101658616e-23
2018-07-03,0,37,2.652538443303157e-25
2018-07-03,0,38,7.459656809898407e-24
2018-07-03,0,39,4.092576717160701e-23
2018-07-03,0,40,4.4607651631280005e-23
2018-07-03,0,41,2.350708621825272e-23
2018-07-03,0,42,5.386220656836722e-24
2018-07-03,0,43,6.41132864387025e-23
2018-07-03,0,44,3.870286163440114e-23
2018-07-03,0,45,4.0703265344264326e-25
2018-07-03,0,46,2.062760883847721e-23
2018-07-03,0,47,4.556352755330962e-25
2018-07-03,0,48,3.7754129048670093e-23
2018-07-03,0,49,2.8719247911271505e-23
2018-07-03,0,50,4.671091418933083e-25
2018-07-03,0,51,4.024727360094958e-23
2018-07-03,0,52,1.4262301144427555e-23
2018-07-03,0,53,3.6043941042026816e-23
2018-07-03,0,54,4.204713043757841e-25
2018-07-03,0,55,5.225079653769837e-23
2018-07-03,0,56,4.668380888232651e-23
2018-07-03,0,57,4.102213883597236e-23
